house_type_id,bedroom_count,bathroom_count,rent_amount,publisher_identity,rent_duration,identity,City_geo,State_geo,Postcode_geo,geometry,year
Apartment,1.0,1.0,1485.0,0,5.8267148014440435,0.0,Seattle,Washington,98133,POINT (-122.3307457 47.7054461),2020
Apartment,2.0,1.0,1250.0,0,5.8267148014440435,0.0,Seattle,Washington,98105,POINT (-122.3152592 47.6571071),2020
House,2.0,1.0,1600.0,0,5.8267148014440435,0.0,Seattle,Washington,98125,POINT (-122.320687 47.702993),2020
Apartment,1.0,1.0,3840.0,2,1.0,0.0,Pasadena,California,91102,POINT (-118.1479677 34.1417001),2020
Apartment,4.0,4.0,1284.0,1,5.8267148014440435,0.0,Seattle,Washington,98105,POINT (-122.3128724 47.6651382),2020
Townhouse,3.0,2.5,5400.0,2,1.0,0.0,Pasadena,California,91105-3212,POINT (-118.1463486 34.1342912),2020
Apartment,1.0,1.0,700.0,0,5.8267148014440435,0.0,Shoreline,Washington,98133,POINT (-122.3484123 47.749248),2020
Townhouse,3.0,2.25,2250.0,2,6.0,0.0,Bellevue,Washington,98007,POINT (-122.1434643 47.6129754),2020
Apartment,1.0,1.0,1450.0,0,5.8267148014440435,0.0,Seattle,Washington,98133,POINT (-122.3307457 47.7054461),2020
Apartment,2.0,2.0,1020.0,0,5.8267148014440435,0.0,Jersey City,New Jersey,07311,POINT (-74.03082209999999 40.7276933),2020
Apartment,2.0,2.0,1000.0,0,5.8267148014440435,0.0,Jersey City,New Jersey,07311,POINT (-74.03082209999999 40.7276933),2020
Apartment,1.0,1.0,1700.0,0,0.0,0.0,Bellevue,Washington,98004,POINT (-122.2034187 47.6199797),2020
Apartment,2.0,1.75,1250.0,2,12.0,0.0,Bellevue,Washington,98052-6800,POINT (-122.143514 47.6499135),2020
House,5.0,3.0,800.0,0,5.8267148014440435,0.0,Bothell,Washington,98021,POINT (-122.18646099 47.79073369),2020
Townhouse,4.0,3.0,1100.0,0,6.0,0.0,San Diego,California,92126,POINT (-117.1462437 32.9249702),2020
House,4.0,3.0,1000.0,0,5.8267148014440435,0.0,Bothell,Washington,98011,POINT (-122.2161491 47.7528609),2020
House,4.0,2.5,1100.0,0,5.8267148014440435,0.0,Boston,Massachusetts,02134-1433,POINT (-71.1259604 42.3551203),2020
Townhouse,3.0,3.0,3200.0,0,5.8267148014440435,0.0,Fremont,California,94538,POINT (-121.9655853 37.532726),2020
Apartment,2.0,2.0,1400.0,0,5.8267148014440435,0.0,New York,New York,11101,POINT (-73.942261 40.7505894),2020
Apartment,1.0,1.0,1676.0,0,5.8267148014440435,0.0,Bellevue,Washington,98004,POINT (-122.19191742 47.61769867),2020
Apartment,1.0,1.0,2700.0,0,5.8267148014440435,0.0,New York,New York,10128,POINT (-73.9530887 40.7795871),2020
Apartment,1.0,1.0,2300.0,0,5.8267148014440435,0.0,New York,New York,10018,POINT (-73.99636841 40.75872421),2020
Apartment,2.0,2.0,1500.0,0,5.8267148014440435,0.0,New York,New York,10036,POINT (-73.9860134 40.7607954),2020
House,1.0,1.0,650.0,0,1.0,0.0,Ontario,California,91764,POINT (-117.6285503 34.0888908),2020
House,1.0,1.0,750.0,0,1.0,0.0,Ontario,California,91764,POINT (-117.6285503 34.0888908),2020
Townhouse,3.0,2.0,2500.0,0,5.8267148014440435,0.0,Redmond,Washington,98052-2866,POINT (-122.1005135 47.6843655),2020
Apartment,5.0,2.0,830.0,0,5.8267148014440435,0.0,Seattle,Washington,98105-6286,POINT (-122.3176703 47.65649512),2020
Apartment,2.0,2.0,4800.0,2,1.0,0.0,Monrovia,California,91016,POINT (-118.0203719 34.1398198),2020
Townhouse,3.0,4.0,5340.0,2,5.8267148014440435,0.0,Arcadia,California,91007,POINT (-118.0588133 34.1274414),2020
Apartment,1.0,1.0,2000.0,0,5.8267148014440435,0.0,New York,New York,10044,POINT (-73.95158386 40.75934601),2020
Apartment,1.0,1.0,1200.0,0,5.8267148014440435,0.0,Seattle,Washington,98105,POINT (-122.3152592 47.6571071),2020
Apartment,1.0,1.0,590.0,0,5.8267148014440435,0.0,Bothell,Washington,98208,POINT (-122.1798127 47.8622822),2020
Apartment,1.0,1.0,1550.0,0,5.8267148014440435,0.0,Seattle,Washington,98121,POINT (-122.3491116 47.6163328),2020
House,2.0,1.0,580.0,0,6.0,0.0,Seattle,Washington,98126,POINT (-122.367891 47.5215363),2020
House,4.0,2.0,1000.0,0,5.8267148014440435,0.0,McDonough,Georgia,30228:30253,POINT (-84.2126671 33.3992494),2020
Apartment,1.0,1.0,1550.0,0,6.0,0.0,Seattle,Washington,98101,POINT (-122.3305804 47.6169782),2020
Apartment,1.0,1.0,1210.0,0,5.8267148014440435,0.0,Seattle,Washington,98125,POINT (-122.31502533 47.72639084),2020
House,2.0,1.0,850.0,0,5.8267148014440435,0.0,Renton,Washington,98059,POINT (-122.13337733 47.48100631),2020
Apartment,1.0,1.0,1450.0,0,5.8267148014440435,0.0,New York,New York,11101,POINT (-73.93778992 40.74882126),2020
House,3.0,2.0,600.0,0,5.8267148014440435,0.0,Everett,Washington,98204,POINT (-122.2739446 47.886832),2020
Apartment,1.0,1.0,1650.0,0,5.8267148014440435,0.0,New York,New York,11101,POINT (-73.93947230000001 40.7470603),2020
Apartment,1.0,1.0,612.0,0,5.8267148014440435,0.0,Seattle,Washington,98105,POINT (-122.3140994 47.657534),2020
Apartment,1.0,1.0,1500.0,0,5.8267148014440435,0.0,New York,New York,10044,POINT (-73.94687653 40.76629639),2020
Townhouse,1.0,1.0,1150.0,0,5.8267148014440435,0.0,Redmond,Washington,98052-6800,POINT (-122.13255056 47.6681915),2020
Apartment,2.0,2.0,1710.0,0,5.8267148014440435,0.0,New York,New York,11101,POINT (-73.93701899 40.7483777),2020
House,3.0,2.0,680.0,0,5.8267148014440435,0.0,Seattle,Washington,98106,POINT (-122.34603706 47.52195862),2020
Townhouse,1.0,1.0,900.0,0,6.0,0.0,Shoreline,Washington,98133,POINT (-122.34741848 47.7491534),2020
Townhouse,1.0,1.0,800.0,0,6.0,0.0,Shoreline,Washington,98133,POINT (-122.3474659 47.7502852),2020
Townhouse,4.0,4.0,3600.0,0,6.0,0.0,Shoreline,Washington,98133-6124,POINT (-122.34732365 47.74920122),2020
Apartment,1.0,1.0,999.0,0,5.8267148014440435,0.0,New York,New York,11101,POINT (-73.9380657 40.7483999),2020
Apartment,1.0,1.0,2650.0,0,5.8267148014440435,0.0,New York,New York,10018,POINT (-73.999092 40.7563515),2020
Apartment,1.0,1.0,1150.0,0,5.8267148014440435,0.0,Bellevue,Washington,98007,POINT (-122.1452838 47.6455504),2020
Apartment,1.0,1.0,1150.0,0,5.8267148014440435,0.0,Bellevue,Washington,98007,POINT (-122.1452838 47.6455504),2020
Apartment,1.0,1.0,1150.0,0,5.8267148014440435,0.0,Bellevue,Washington,98007,POINT (-122.1452838 47.6455504),2020
Apartment,3.0,1.0,1300.0,0,5.8267148014440435,0.0,New York,New York,10002,POINT (-73.98265859999999 40.7184699),2020
Apartment,1.0,1.0,1950.0,0,5.8267148014440435,0.0,Bellevue,Washington,98004,POINT (-120.34294868 46.11104363),2020
Apartment,2.0,2.0,1700.0,0,5.8267148014440435,0.0,New York,New York,11101,POINT (-73.93618960000001 40.7490714),2020
Apartment,1.0,1.0,1400.0,2,3.0,0.0,New York,New York,10069,POINT (-73.9886498 40.7750725),2020
Apartment,1.0,1.0,3870.0,2,5.8267148014440435,0.0,Pasadena,California,91101,POINT (-118.1396681 34.1409297),2020
Apartment,3.0,2.0,1055.0,0,5.8267148014440435,0.0,Lawrenceville,Georgia,30044,POINT (-84.09980571 33.89933632),2020
Apartment,2.0,2.0,1200.0,0,5.8267148014440435,0.0,Seattle,Washington,98105,POINT (-122.30395697 47.66489909),2020
Apartment,2.0,2.0,1100.0,0,5.8267148014440435,0.0,Seattle,Washington,98105,POINT (-122.3045409 47.67073767),2020
Other,1.0,1.0,999.0,0,5.8267148014440435,0.0,Seattle,Washington,98101,POINT (-122.3333662 47.6116064),2020
Other,1.0,1.0,999.0,0,5.8267148014440435,0.0,New York,New York,10065,POINT (-73.9634786 40.7643372),2020
Other,1.0,1.0,999.0,0,5.8267148014440435,0.0,Los Angeles,California,90012,POINT (-118.23382709 34.05840533),2020
Other,1.0,1.0,999.0,0,5.8267148014440435,0.0,Cambridge,Massachusetts,02138-2903,POINT (-71.13171800000001 42.3775115),2020
